participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
522	cd3_com_+n	com	+n	6	55_cd3_ct14	ct14	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd4_com_-n	com	-n	6	12_cd4_ct03	ct03	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd4_com_-n	com	-n	6	48_cd4_ct12	ct12	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
524	cd1_ass_+n	ass	+n	1	13_cd1_ct04	ct04	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd1_ass_+n	ass	+n	1	41_cd1_ct11	ct11	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd2_ass_-n	ass	-n	1	6_cd2_ct02	ct02	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd2_ass_-n	ass	-n	5	34_cd2_ct09	ct09	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd3_com_+n	com	+n	5	27_cd3_ct07	ct07	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd3_com_+n	com	+n	4	63_cd3_ct16	ct16	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd4_com_-n	com	-n	6	20_cd4_ct05	ct05	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
524	cd4_com_-n	com	-n	6	56_cd4_ct14	ct14	1	1	1	1	6	6	5	6	6	4	6	6	4	5	6	6
538	cd1_ass_+n	ass	+n	1	1_cd1_ct01	ct01	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd1_ass_+n	ass	+n	1	37_cd1_ct10	ct10	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd2_ass_-n	ass	-n	1	30_cd2_ct08	ct08	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd2_ass_-n	ass	-n	1	58_cd2_ct15	ct15	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd3_com_+n	com	+n	6	23_cd3_ct06	ct06	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
